"Name","Live Bytes","Live Objects"
"com.intellij.codeInsight.controlflow.impl.InstructionImpl","56,896 B (0%)","1,778 (0%)"
"com.intellij.openapi.vfs.newvfs.impl.VirtualFileImpl","56,896 B (0%)","1,778 (0%)"
"java.util.regex.Pattern","56,848 B (0%)","646 (0%)"
"java.beans.PropertyChangeSupport$PropertyChangeListenerMap","56,752 B (0%)","3,547 (0.1%)"
"com.intellij.openapi.actionSystem.Presentation$$Lambda$558.0x0000000100671840","56,688 B (0%)","3,543 (0.1%)"
"jdk.internal.reflect.DelegatingClassLoader","56,320 B (0%)","640 (0%)"
"com.intellij.ui.SimpleColoredComponent","54,800 B (0%)","137 (0%)"
"org.apache.log4j.CategoryKey","54,768 B (0%)","2,282 (0%)"
"com.intellij.openapi.wm.impl.customFrameDecorations.style.Properties","54,064 B (0%)","3,379 (0.1%)"
"com.intellij.openapi.editor.toolbar.floating.FloatingToolbarComponentImpl","54,000 B (0%)","150 (0%)"
"com.intellij.execution.filters.ConsoleFilterProvider[]","53,568 B (0%)","1,674 (0%)"
"java.util.Spliterators$ArraySpliterator","53,536 B (0%)","1,673 (0%)"
"java.util.LinkedHashMap$LinkedKeyIterator","53,536 B (0%)","1,673 (0%)"
"java.io.ObjectStreamField","52,680 B (0%)","1,317 (0%)"
"com.intellij.util.containers.ConcurrentWeakValueHashMap$MyWeakReference","51,904 B (0%)","1,622 (0%)"
"com.intellij.codeInsight.template.impl.LiveTemplatesOptionsTopHitProvider$Option","51,360 B (0%)","1,284 (0%)"
"java.io.File","50,816 B (0%)","1,588 (0%)"
"java.lang.invoke.LambdaForm$Name[]","50,608 B (0%)","854 (0%)"
"java.util.Collections$SynchronizedMap","50,592 B (0%)","1,581 (0%)"
"com.intellij.util.Alarm","50,240 B (0%)","1,256 (0%)"
"sun.nio.fs.WindowsPathParser$Result","49,944 B (0%)","2,081 (0%)"
"sun.rmi.transport.StreamRemoteCall","49,040 B (0%)","1,226 (0%)"
"java.io.ObjectOutputStream$BlockDataOutputStream","49,040 B (0%)","1,226 (0%)"
"java.util.Collections$SingletonList","48,768 B (0%)","2,032 (0%)"
"com.intellij.codeInspection.LocalInspectionEP","48,480 B (0%)","505 (0%)"
"java.lang.invoke.LambdaForm$NamedFunction","48,032 B (0%)","1,501 (0%)"
"java.io.DataInputStream","48,000 B (0%)","1,500 (0%)"
"kotlin.reflect.jvm.internal.ReflectProperties$LazySoftVal","47,952 B (0%)","1,998 (0%)"
"java.io.ObjectInputStream$PeekInputStream","47,808 B (0%)","1,494 (0%)"
"java.io.ObjectInputStream$HandleTable","47,808 B (0%)","1,494 (0%)"
"java.awt.BorderLayout","47,488 B (0%)","848 (0%)"
"com.intellij.openapi.editor.impl.RangeHighlighterTree$RHNode","46,720 B (0%)","730 (0%)"
"java.util.HashMap$EntrySet","46,304 B (0%)","2,894 (0.1%)"
"com.intellij.codeInsight.daemon.impl.HighlightInfo","46,280 B (0%)","445 (0%)"
"java.util.WeakHashMap$Entry[]","46,160 B (0%)","437 (0%)"
"com.jediterm.terminal.emulator.ControlSequence","45,600 B (0%)","1,425 (0%)"
